Hospital_name,Hospital,lat_long,address,phone
rush_copley,Rush Copley Medical Center,"41.7290° N, 88.2706° W","1653 W Congress Pkwy, Chicago, IL 60612",(630) 978-6200
university_of_chic,University of Chicago Hospital,"41.7888° N, 87.6043° W","5758 S Maryland Ave, Chicago, IL 60637",(773) 702-1865
northwestern_memor,Northwestern Memorial Hospital,"41.8947° N, 87.6215° W","251 E Huron St, Chicago, IL 60611",(312) 926-2000
john_h_stroger_jr,John H. Stroger Jr. Hospital,"41.8728° N, 87.6737° W","1969 Ogden Ave, Chicago, IL 60612",(312) 864-6000
ui_health,UI Health,"41.8696° N, 87.6716° W","1740 W Taylor St, Chicago, IL 60612",(866) 600-2273
saint_anthony,Saint Anthony Hospital,"41.8644° N, 87.6884° W","2875 W 19th St, Chicago, IL 60623",(773) 484-1000
mount_sinai_hospit,Mount Siania Hospital,"40.7900° N, 73.9527° W","2653 Ogden Ave, Chicago, IL 60608",(773) 257-6672
northshore_univers,North Shore University Evanston Hospital,"40.7752° N, 73.7013° W","2650 Ridge Ave, Evanston, IL 60201",(847) 570-2000
vista_medical_cent,Vista Medical Center - East,"42.3782° N, 87.8325° W","1324 N Sheridan Rd, Waukegan, IL 60085",(847) 360-3000
advocate_lutheran,Advocate Lutheran General Hospital,"42.0385° N, 87.8476° W","1775 Dempster Street, Park Ridge, IL 60068",847) 723-2210
advocate_illinois,Advocate Illinois Masonic Medical Center,"41.9370° N, 87.6520° W","836 W Wellington Ave, Chicago, IL 60657",(773) 975-1600
carle_foundation_h,Carle Foundation Hospital,"40.1170° N, 88.2156° W","611 W Park St, Urbana, IL 61801",(217) 383-3311
norwegian_american,Norwegian American Hospital,"48.893478394, 2.271539927","1044 N Francisco Ave, Chicago, IL 60622",(773) 292-8200
memorial_medical_c,P. D. Memorial Medical Center,"39.8097° N, 89.6568° W","1802 W Chicago Ave, Chicago, IL 60622",(773) 278-8727
memorial_carbondal,Memorial Hospital of Carbondale,"37.7274° N, 89.2207° W","405 W Jackson St, Carbondale, IL 62901",(618) 549-0721
advocate_christ_me,Advocate Christ Medical Center,"41.7218° N, 87.7328° W","4440 W 95th St, Oak Lawn, IL 60453",(708) 684-8000
swedish_covenant_h,Swedish Covenant Hospital,"41.9753° N, 87.6995° W","5140 N California Ave, Chicago, IL 60625",(773) 878-8200
rush_university_me,Rush University Medical Center,"41.8746° N, 87.6687° W","1653 W Congress Pkwy, Chicago, IL 6061",(312) 942-5000
advocate_trinity_h,Advocate Trinity Hospital,"41.7265° N, 87.5679° W","2320 E 93rd St, Chicago, IL 60617",(773) 967-2000
abraham_lincoln_me,Abraham Lincoln Memorial Hospital,"40.1538° N, 89.3898° W","200 Stahlhut Dr, Lincoln, IL 62656",(217) 732-2161
barnes_jewish_hosp,Barnes-Jewish Hospital,"38.6369° N, 90.2645° W","1 Barnes Jewish Hospital Plaza, St. Louis, MO 63110",(314) 747-3000
anderson_hospital,Anderson Hospital,"38.7367° N, 89.9462° W"," 6800 State Route 162, IL-162, Maryville, IL 62062",(618) 288-5711
gibson_area_hospit,Gibson Area Hospital,"40.4653118,-88.3758875 ","1120 N Melvin St, Gibson City, IL 60936",(217) 784-4251
nm_central_dupage,Northwestern Medicine Central DuPage Hospital,"41.873191833, -88.157478333","25 N Winfield Rd, Winfield, IL 60190",(630) 933-1600
silver_cross_hospi,Silver Cross Hospital,"41.545810000, -87.980790000","1900 Silver Cross Blvd, New Lenox, IL 60451",(815) 300-1100
west_suburban_medi,West Suburban Medical Center,"29.709510803, -95.398178101","3 Erie St, Oak Park, IL 60302",(708) 383-6200
passavant_area_hos,Passavant Area Hospital,"47.274059296, 6.383059978","1600 W Walnut St, Jacksonville, IL 62650",(217) 245-9541